,fileNumber,fileName,iter1:m/nratio,iter1:time,iter1:noOfIter,avgIter,avgTime,mnratio
132,133,"n=40,m=85.cnf",2.125,0.0002897349999955168,11,11.0,0.0002897349999955168,2.125
133,134,"n=40,m=91.cnf",2.275,-6.780999996180982e-06,15,15.0,-6.780999996180982e-06,2.275
134,135,"n=30,m=109.cnf",3.633333333333333,3.5930999985112066e-05,213,213.0,3.5930999985112066e-05,3.633333333333333
135,136,"n=30,m=121.cnf",4.033333333333333,5.3817000008393734e-05,58,58.0,5.3817000008393734e-05,4.033333333333333
136,137,"n=20,m=96.cnf",4.8,-0.0008740139999900974,192,192.0,-0.0008740139999900974,4.8
137,138,"n=10,m=75.cnf",7.5,5.890399999941565e-05,5,5.0,5.890399999941565e-05,7.5
138,139,"n=10,m=65.cnf",6.5,-0.00029793300001301764,22,22.0,-0.00029793300001301764,6.5
139,140,"n=10,m=71.cnf",7.1,-0.0004580780000082996,52,52.0,-0.0004580780000082996,7.1
140,141,"n=10,m=59.cnf",5.9,6.375700000660345e-05,49,49.0,6.375700000660345e-05,5.9
141,142,"n=20,m=92.cnf",4.6,1.770000000078653e-05,27,27.0,1.770000000078653e-05,4.6
142,143,"n=40,m=181.cnf",4.525,-0.00013836800000888158,127,127.0,-0.00013836800000888158,4.525
143,144,"n=40,m=43.cnf",1.075,0.0003605100000072525,13,13.0,0.0003605100000072525,1.075
144,145,"n=30,m=130.cnf",4.333333333333333,1.3618000011206274e-05,83,83.0,1.3618000011206274e-05,4.333333333333333
145,146,"n=30,m=124.cnf",4.133333333333334,7.388699999921755e-05,1326,1326.0,7.388699999921755e-05,4.133333333333334
146,147,"n=30,m=118.cnf",3.933333333333333,-2.426499999330645e-05,292,292.0,-2.426499999330645e-05,3.933333333333333
147,148,"n=40,m=157.cnf",3.925,3.659699999047916e-05,56,56.0,3.659699999047916e-05,3.925
148,149,"n=10,m=70.cnf",7.0,0.0010357509999892043,43,43.0,0.0010357509999892043,7.0
149,150,"n=50,m=105.cnf",2.1,0.0006317990000042072,11,11.0,0.0006317990000042072,2.1
150,151,"n=40,m=169.cnf",4.225,2.6368000007437328e-05,263,263.0,2.6368000007437328e-05,4.225
151,152,"n=30,m=132.cnf",4.4,-0.00040241299998911023,2000,2000.0,-0.00040241299998911023,4.4
152,153,"n=40,m=55.cnf",1.375,0.0002500680000139255,5,5.0,0.0002500680000139255,1.375
153,154,"n=30,m=126.cnf",4.2,3.3732000019881525e-05,395,395.0,3.3732000019881525e-05,4.2
154,155,"n=30,m=19.cnf",0.6333333333333333,1.864699999032382e-05,2,2.0,1.864699999032382e-05,0.6333333333333333
155,156,"n=30,m=25.cnf",0.8333333333333334,-1.0460999988026742e-05,2,2.0,-1.0460999988026742e-05,0.8333333333333334
156,157,"n=30,m=31.cnf",1.0333333333333334,6.707800000071984e-05,7,7.0,6.707800000071984e-05,1.0333333333333334
157,158,"n=40,m=97.cnf",2.425,3.6671000032129086e-05,15,15.0,3.6671000032129086e-05,2.425
158,159,"n=30,m=127.cnf",4.233333333333333,-1.1588999996092753e-05,250,250.0,-1.1588999996092753e-05,4.233333333333333
159,160,"n=30,m=133.cnf",4.433333333333334,0.00026028400000654983,407,407.0,0.00026028400000654983,4.433333333333334
160,161,"n=20,m=84.cnf",4.2,-0.0010567060000141737,51,51.0,-0.0010567060000141737,4.2
161,162,"n=50,m=110.cnf",2.2,0.0001866329999984373,32,32.0,0.0001866329999984373,2.2
